Arrival Time,Request ID,Origin,Destination,Load,Duration (min),Distance(Km),Fuel,Cost(â‚¬)
Mon Jun 07 15:53:24 WEST 2021,100000,3,47,8,21,10.78,1.9403999,0.31046396
Mon Jun 07 16:30:24 WEST 2021,200010,47,105,8,37,8.38,1.8436,0.294976
Mon Jun 07 16:39:24 WEST 2021,100003,105,99,6,9,3.0,0.78,0.12479999
Mon Jun 07 16:59:24 WEST 2021,100004,99,108,2,20,4.99,1.4470999,0.23153599
Mon Jun 07 17:47:24 WEST 2021,200013,108,107,6,48,8.91,2.6729999,0.42767996
Mon Jun 07 18:46:24 WEST 2021,100006,107,39,3,59,13.89,4.5837,0.733392
Mon Jun 07 19:20:24 WEST 2021,200015,39,9,5,34,10.32,3.5603998,0.56966394
Mon Jun 07 19:55:24 WEST 2021,200016,9,17,3,35,13.65,5.0505,0.80807996
Mon Jun 07 20:04:24 WEST 2021,200017,17,20,6,9,3.38,1.3013,0.20820801
Mon Jun 07 20:18:24 WEST 2021,-1,20,3,0,14,5.36,2.2244,0.355904
Mon Jun 07 20:37:24 WEST 2021,200018,3,48,2,19,10.17,1.8306,0.292896
